date,season,year,month,holiday,weekday,workingday,weather_situation,temperature,humidity,casual,registered,total,Usage_Category,month_group
2011-01-01,Spring,0,Jan,0,Sat,0,Misty/Cloudy,0.344167,0.805833,331,654,985,Very High,Q1 (Jan-Mar)
2011-01-02,Spring,0,Jan,0,Sun,0,Misty/Cloudy,0.363478,0.696087,131,670,801,Very High,Q1 (Jan-Mar)
2011-01-03,Spring,0,Jan,0,Mon,1,Clear/Partly Cloudy,0.196364,0.437273,120,1229,1349,Very High,Q1 (Jan-Mar)
2011-01-04,Spring,0,Jan,0,Tue,1,Clear/Partly Cloudy,0.2,0.590435,108,1454,1562,Very High,Q1 (Jan-Mar)
2011-01-05,Spring,0,Jan,0,Wed,1,Clear/Partly Cloudy,0.226957,0.436957,82,1518,1600,Very High,Q1 (Jan-Mar)
2011-01-06,Spring,0,Jan,0,Thu,1,Clear/Partly Cloudy,0.204348,0.518261,88,1518,1606,Very High,Q1 (Jan-Mar)
2011-01-07,Spring,0,Jan,0,Fri,1,Misty/Cloudy,0.196522,0.498696,148,1362,1510,Very High,Q1 (Jan-Mar)
2011-01-08,Spring,0,Jan,0,Sat,0,Misty/Cloudy,0.165,0.535833,68,891,959,Very High,Q1 (Jan-Mar)
2011-01-09,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,0.138333,0.434167,54,768,822,Very High,Q1 (Jan-Mar)
2011-01-10,Spring,0,Jan,0,Mon,1,Clear/Partly Cloudy,0.150833,0.482917,41,1280,1321,Very High,Q1 (Jan-Mar)
2011-01-11,Spring,0,Jan,0,Tue,1,Misty/Cloudy,0.169091,0.686364,43,1220,1263,Very High,Q1 (Jan-Mar)
2011-01-12,Spring,0,Jan,0,Wed,1,Clear/Partly Cloudy,0.172727,0.599545,25,1137,1162,Very High,Q1 (Jan-Mar)
2011-01-13,Spring,0,Jan,0,Thu,1,Clear/Partly Cloudy,0.165,0.470417,38,1368,1406,Very High,Q1 (Jan-Mar)
2011-01-14,Spring,0,Jan,0,Fri,1,Clear/Partly Cloudy,0.16087,0.537826,54,1367,1421,Very High,Q1 (Jan-Mar)
2011-01-15,Spring,0,Jan,0,Sat,0,Misty/Cloudy,0.233333,0.49875,222,1026,1248,Very High,Q1 (Jan-Mar)
2011-01-16,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,0.231667,0.48375,251,953,1204,Very High,Q1 (Jan-Mar)
2011-01-17,Spring,0,Jan,1,Mon,0,Misty/Cloudy,0.175833,0.5375,117,883,1000,Very High,Q1 (Jan-Mar)
2011-01-18,Spring,0,Jan,0,Tue,1,Misty/Cloudy,0.216667,0.861667,9,674,683,Very High,Q1 (Jan-Mar)
2011-01-19,Spring,0,Jan,0,Wed,1,Misty/Cloudy,0.292174,0.741739,78,1572,1650,Very High,Q1 (Jan-Mar)
2011-01-20,Spring,0,Jan,0,Thu,1,Misty/Cloudy,0.261667,0.538333,83,1844,1927,Very High,Q1 (Jan-Mar)
2011-01-21,Spring,0,Jan,0,Fri,1,Clear/Partly Cloudy,0.1775,0.457083,75,1468,1543,Very High,Q1 (Jan-Mar)
2011-01-22,Spring,0,Jan,0,Sat,0,Clear/Partly Cloudy,0.0591304,0.4,93,888,981,Very High,Q1 (Jan-Mar)
2011-01-23,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,0.0965217,0.436522,150,836,986,Very High,Q1 (Jan-Mar)
2011-01-24,Spring,0,Jan,0,Mon,1,Clear/Partly Cloudy,0.0973913,0.491739,86,1330,1416,Very High,Q1 (Jan-Mar)
2011-01-25,Spring,0,Jan,0,Tue,1,Misty/Cloudy,0.223478,0.616957,186,1799,1985,Very High,Q1 (Jan-Mar)
2011-01-26,Spring,0,Jan,0,Wed,1,Light Snow/Rain,0.2175,0.8625,34,472,506,Very High,Q1 (Jan-Mar)
2011-01-27,Spring,0,Jan,0,Thu,1,Clear/Partly Cloudy,0.195,0.6875,15,416,431,Very High,Q1 (Jan-Mar)
2011-01-28,Spring,0,Jan,0,Fri,1,Misty/Cloudy,0.203478,0.793043,38,1129,1167,Very High,Q1 (Jan-Mar)
2011-01-29,Spring,0,Jan,0,Sat,0,Clear/Partly Cloudy,0.196522,0.651739,123,975,1098,Very High,Q1 (Jan-Mar)
2011-01-30,Spring,0,Jan,0,Sun,0,Clear/Partly Cloudy,0.216522,0.722174,140,956,1096,Very High,Q1 (Jan-Mar)
2011-01-31,Spring,0,Jan,0,Mon,1,Misty/Cloudy,0.180833,0.60375,42,1459,1501,Very High,Q1 (Jan-Mar)
2011-02-01,Spring,0,Feb,0,Tue,1,Misty/Cloudy,0.192174,0.829565,47,1313,1360,Very High,Q1 (Jan-Mar)
