instant,dateday,season,year,month,hour,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,windspeed,casual,registered,total,time_of_day
1,2011-01-01,Spring,0,Jan,0,0,Sat,0,Clear/Partly Cloudy,0.24,0.2879,0.81,0.0,3,13,16,Morning
2,2011-01-01,Spring,0,Jan,1,0,Sat,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,8,32,40,Morning
3,2011-01-01,Spring,0,Jan,2,0,Sat,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,5,27,32,Morning
4,2011-01-01,Spring,0,Jan,3,0,Sat,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,3,10,13,Morning
5,2011-01-01,Spring,0,Jan,4,0,Sat,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,0,1,1,Morning
6,2011-01-01,Spring,0,Jan,5,0,Sat,0,Misty/Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,Morning
7,2011-01-01,Spring,0,Jan,6,0,Sat,0,Clear/Partly Cloudy,0.22,0.2727,0.8,0.0,2,0,2,Morning
8,2011-01-01,Spring,0,Jan,7,0,Sat,0,Clear/Partly Cloudy,0.2,0.2576,0.86,0.0,1,2,3,Morning
9,2011-01-01,Spring,0,Jan,8,0,Sat,0,Clear/Partly Cloudy,0.24,0.2879,0.75,0.0,1,7,8,Afternoon
10,2011-01-01,Spring,0,Jan,9,0,Sat,0,Clear/Partly Cloudy,0.32,0.3485,0.76,0.0,8,6,14,Afternoon
11,2011-01-01,Spring,0,Jan,10,0,Sat,0,Clear/Partly Cloudy,0.38,0.3939,0.76,0.2537,12,24,36,Afternoon
12,2011-01-01,Spring,0,Jan,11,0,Sat,0,Clear/Partly Cloudy,0.36,0.3333,0.81,0.2836,26,30,56,Afternoon
13,2011-01-01,Spring,0,Jan,12,0,Sat,0,Clear/Partly Cloudy,0.42,0.4242,0.77,0.2836,29,55,84,Afternoon
14,2011-01-01,Spring,0,Jan,13,0,Sat,0,Misty/Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,Afternoon
15,2011-01-01,Spring,0,Jan,14,0,Sat,0,Misty/Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,Afternoon
16,2011-01-01,Spring,0,Jan,15,0,Sat,0,Misty/Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,Afternoon
17,2011-01-01,Spring,0,Jan,16,0,Sat,0,Misty/Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,Night
18,2011-01-01,Spring,0,Jan,17,0,Sat,0,Misty/Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,Night
19,2011-01-01,Spring,0,Jan,18,0,Sat,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,Night
20,2011-01-01,Spring,0,Jan,19,0,Sat,0,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,Night
21,2011-01-01,Spring,0,Jan,20,0,Sat,0,Misty/Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,Night
22,2011-01-01,Spring,0,Jan,21,0,Sat,0,Misty/Cloudy,0.4,0.4091,0.87,0.194,3,31,34,Night
23,2011-01-01,Spring,0,Jan,22,0,Sat,0,Misty/Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,Night
