dateday,total,registered,recency,frequency,monetary,R_score,F_score,M_score,RFM_Segment,RFM_Score
2011-01-01,985,654,730,654,985,1,1,1,111,3
2011-01-02,801,670,729,670,801,1,1,1,111,3
2011-01-03,1349,1229,728,1229,1349,1,1,1,111,3
2011-01-04,1562,1454,727,1454,1562,1,1,1,111,3
2011-01-05,1600,1518,726,1518,1600,1,1,1,111,3
2011-01-06,1606,1518,725,1518,1606,1,1,1,111,3
2011-01-07,1510,1362,724,1362,1510,1,1,1,111,3
2011-01-08,959,891,723,891,959,1,1,1,111,3
2011-01-09,822,768,722,768,822,1,1,1,111,3
2011-01-10,1321,1280,721,1280,1321,1,1,1,111,3
2011-01-11,1263,1220,720,1220,1263,1,1,1,111,3
2011-01-12,1162,1137,719,1137,1162,1,1,1,111,3
2011-01-13,1406,1368,718,1368,1406,1,1,1,111,3
2011-01-14,1421,1367,717,1367,1421,1,1,1,111,3
2011-01-15,1248,1026,716,1026,1248,1,1,1,111,3
2011-01-16,1204,953,715,953,1204,1,1,1,111,3
2011-01-17,1000,883,714,883,1000,1,1,1,111,3
2011-01-18,683,674,713,674,683,1,1,1,111,3
2011-01-19,1650,1572,712,1572,1650,1,1,1,111,3
2011-01-20,1927,1844,711,1844,1927,1,1,1,111,3
2011-01-21,1543,1468,710,1468,1543,1,1,1,111,3
2011-01-22,981,888,709,888,981,1,1,1,111,3
2011-01-23,986,836,708,836,986,1,1,1,111,3
2011-01-24,1416,1330,707,1330,1416,1,1,1,111,3
2011-01-25,1985,1799,706,1799,1985,1,1,1,111,3
2011-01-26,506,472,705,472,506,1,1,1,111,3
2011-01-27,431,416,704,416,431,1,1,1,111,3
2011-01-28,1167,1129,703,1129,1167,1,1,1,111,3
2011-01-29,1098,975,702,975,1098,1,1,1,111,3
2011-01-30,1096,956,701,956,1096,1,1,1,111,3
2011-01-31,1501,1459,700,1459,1501,1,1,1,111,3
2011-02-01,1360,1313,699,1313,1360,1,1,1,111,3
2011-02-02,1526,1454,698,1454,1526,1,1,1,111,3
2011-02-03,1550,1489,697,1489,1550,1,1,1,111,3
2011-02-04,1708,1620,696,1620,1708,1,1,1,111,3
2011-02-05,1005,905,695,905,1005,1,1,1,111,3
2011-02-06,1623,1269,694,1269,1623,1,1,1,111,3
2011-02-07,1712,1592,693,1592,1712,1,1,1,111,3
2011-02-08,1530,1466,692,1466,1530,1,1,1,111,3
2011-02-09,1605,1552,691,1552,1605,1,1,1,111,3
2011-02-10,1538,1491,690,1491,1538,1,1,1,111,3
2011-02-11,1746,1597,689,1597,1746,1,1,1,111,3
2011-02-12,1472,1184,688,1184,1472,1,1,1,111,3
2011-02-13,1589,1192,687,1192,1589,1,1,1,111,3
2011-02-14,1913,1705,686,1705,1913,1,1,1,111,3
2011-02-15,1815,1675,685,1675,1815,1,1,1,111,3
2011-02-16,2115,1897,684,1897,2115,1,1,1,111,3
2011-02-17,2475,2216,683,2216,2475,1,1,1,111,3
2011-02-18,2927,2348,682,2348,2927,1,1,1,111,3
2011-02-19,1635,1103,681,1103,1635,1,1,1,111,3
2011-02-20,1812,1173,680,1173,1812,1,1,1,111,3
2011-02-21,1107,912,679,912,1107,1,1,1,111,3
2011-02-22,1450,1376,678,1376,1450,1,1,1,111,3
2011-02-23,1917,1778,677,1778,1917,1,1,1,111,3
2011-02-24,1807,1707,676,1707,1807,1,1,1,111,3
2011-02-25,1461,1341,675,1341,1461,1,1,1,111,3
2011-02-26,1969,1545,674,1545,1969,1,1,1,111,3
2011-02-27,2402,1708,673,1708,2402,1,1,1,111,3
2011-02-28,1446,1365,672,1365,1446,1,1,1,111,3
2011-03-01,1851,1714,671,1714,1851,1,1,1,111,3
2011-03-02,2134,1903,670,1903,2134,1,1,1,111,3
2011-03-03,1685,1562,669,1562,1685,1,1,1,111,3
2011-03-04,1944,1730,668,1730,1944,1,1,1,111,3
2011-03-05,2077,1437,667,1437,2077,1,1,1,111,3
2011-03-06,605,491,666,491,605,1,1,1,111,3
2011-03-07,1872,1628,665,1628,1872,1,1,1,111,3
2011-03-08,2133,1817,664,1817,2133,1,1,1,111,3
2011-03-09,1891,1700,663,1700,1891,1,1,1,111,3
2011-03-10,623,577,662,577,623,1,1,1,111,3
2011-03-11,1977,1730,661,1730,1977,1,1,1,111,3
2011-03-12,2132,1408,660,1408,2132,1,1,1,111,3
2011-03-13,2417,1435,659,1435,2417,1,1,1,111,3
2011-03-14,2046,1687,658,1687,2046,1,1,1,111,3
2011-03-15,2056,1767,657,1767,2056,1,1,1,111,3
2011-03-16,2192,1871,656,1871,2192,1,1,1,111,3
2011-03-17,2744,2320,655,2320,2744,1,1,1,111,3
2011-03-18,3239,2355,654,2355,3239,1,1,2,112,4
2011-03-19,3117,1693,653,1693,3117,1,1,1,111,3
2011-03-20,2471,1424,652,1424,2471,1,1,1,111,3
2011-03-21,2077,1676,651,1676,2077,1,1,1,111,3
2011-03-22,2703,2243,650,2243,2703,1,1,1,111,3
2011-03-23,2121,1918,649,1918,2121,1,1,1,111,3
2011-03-24,1865,1699,648,1699,1865,1,1,1,111,3
2011-03-25,2210,1910,647,1910,2210,1,1,1,111,3
2011-03-26,2496,1515,646,1515,2496,1,1,1,111,3
2011-03-27,1693,1221,645,1221,1693,1,1,1,111,3
2011-03-28,2028,1806,644,1806,2028,1,1,1,111,3
2011-03-29,2425,2108,643,2108,2425,1,1,1,111,3
2011-03-30,1536,1368,642,1368,1536,1,1,1,111,3
2011-03-31,1685,1506,641,1506,1685,1,1,1,111,3
2011-04-01,2227,1920,640,1920,2227,1,1,1,111,3
2011-04-02,2252,1354,639,1354,2252,1,1,1,111,3
2011-04-03,3249,1598,638,1598,3249,1,1,2,112,4
2011-04-04,3115,2381,637,2381,3115,1,1,1,111,3
2011-04-05,1795,1628,636,1628,1795,1,1,1,111,3
2011-04-06,2808,2395,635,2395,2808,1,1,1,111,3
2011-04-07,3141,2570,634,2570,3141,1,2,1,121,4
2011-04-08,1471,1299,633,1299,1471,1,1,1,111,3
2011-04-09,2455,1576,632,1576,2455,1,1,1,111,3
2011-04-10,2895,1707,631,1707,2895,1,1,1,111,3
2011-04-11,3348,2493,630,2493,3348,1,1,2,112,4
2011-04-12,2034,1777,629,1777,2034,1,1,1,111,3
2011-04-13,2162,1953,628,1953,2162,1,1,1,111,3
2011-04-14,3267,2738,627,2738,3267,1,2,2,122,5
2011-04-15,3126,2484,626,2484,3126,1,1,1,111,3
2011-04-16,795,674,625,674,795,1,1,1,111,3
2011-04-17,3744,2186,624,2186,3744,1,1,2,112,4
2011-04-18,3429,2760,623,2760,3429,1,2,2,122,5
2011-04-19,3204,2795,622,2795,3204,1,2,2,122,5
2011-04-20,3944,3331,621,3331,3944,1,2,2,122,5
2011-04-21,4189,3444,620,3444,4189,1,2,2,122,5
2011-04-22,1683,1506,619,1506,1683,1,1,1,111,3
2011-04-23,4036,2574,618,2574,4036,1,2,2,122,5
2011-04-24,4191,2481,617,2481,4191,1,1,2,112,4
2011-04-25,4073,3300,616,3300,4073,1,2,2,122,5
2011-04-26,4400,3722,615,3722,4400,1,3,2,132,6
2011-04-27,3872,3325,614,3325,3872,1,2,2,122,5
2011-04-28,4058,3489,613,3489,4058,1,2,2,122,5
2011-04-29,4595,3717,612,3717,4595,1,3,3,133,7
2011-04-30,5312,3347,611,3347,5312,1,2,3,123,6
2011-05-01,3351,2213,610,2213,3351,1,1,2,112,4
2011-05-02,4401,3554,609,3554,4401,1,2,2,122,5
2011-05-03,4451,3848,608,3848,4451,1,3,2,132,6
2011-05-04,2633,2378,607,2378,2633,1,1,1,111,3
2011-05-05,4433,3819,606,3819,4433,1,3,2,132,6
2011-05-06,4608,3714,605,3714,4608,1,3,3,133,7
2011-05-07,4714,3102,604,3102,4714,1,2,3,123,6
2011-05-08,4333,2932,603,2932,4333,1,2,2,122,5
2011-05-09,4362,3698,602,3698,4362,1,3,2,132,6
2011-05-10,4803,4109,601,4109,4803,1,3,3,133,7
2011-05-11,4182,3632,600,3632,4182,1,2,2,122,5
2011-05-12,4864,4169,599,4169,4864,1,3,3,133,7
2011-05-13,4105,3413,598,3413,4105,1,2,2,122,5
2011-05-14,3409,2507,597,2507,3409,1,2,2,122,5
2011-05-15,4553,2971,596,2971,4553,1,2,3,123,6
2011-05-16,3958,3185,595,3185,3958,1,2,2,122,5
2011-05-17,4123,3445,594,3445,4123,1,2,2,122,5
2011-05-18,3855,3319,593,3319,3855,1,2,2,122,5
2011-05-19,4575,3840,592,3840,4575,1,3,3,133,7
2011-05-20,4917,4008,591,4008,4917,1,3,3,133,7
2011-05-21,5805,3547,590,3547,5805,1,2,3,123,6
2011-05-22,4660,3084,589,3084,4660,1,2,3,123,6
2011-05-23,4274,3438,588,3438,4274,1,2,2,122,5
2011-05-24,4492,3833,587,3833,4492,1,3,2,132,6
2011-05-25,4978,4238,586,4238,4978,1,3,3,133,7
2011-05-26,4677,3919,585,3919,4677,1,3,3,133,7
2011-05-27,4679,3808,584,3808,4679,1,3,3,133,7
2011-05-28,4758,2757,583,2757,4758,1,2,3,123,6
2011-05-29,4788,2433,582,2433,4788,1,1,3,113,5
2011-05-30,4098,2549,581,2549,4098,1,2,2,122,5
2011-05-31,3982,3309,580,3309,3982,1,2,2,122,5
2011-06-01,3974,3461,579,3461,3974,1,2,2,122,5
2011-06-02,4968,4232,578,4232,4968,1,3,3,133,7
2011-06-03,5312,4414,577,4414,5312,1,3,3,133,7
2011-06-04,5342,3473,576,3473,5342,1,2,3,123,6
2011-06-05,4906,3221,575,3221,4906,1,2,3,123,6
2011-06-06,4548,3875,574,3875,4548,1,3,2,132,6
2011-06-07,4833,4070,573,4070,4833,1,3,3,133,7
2011-06-08,4401,3725,572,3725,4401,1,3,2,132,6
2011-06-09,3915,3352,571,3352,3915,1,2,2,122,5
2011-06-10,4586,3771,570,3771,4586,1,3,3,133,7
2011-06-11,4966,3237,569,3237,4966,1,2,3,123,6
